DMFCountryName,countryCode,region,IDAStatus,MTDSPublished,yrPublished,DMSPeriod,link,linkAvailable,period,frequency,language,downloadStatus,comments
Afghanistan,AFG,,,NO,,,https://mof.gov.af/en/documents,Yes,,,,Complete,Manual inspection shows no debt related documents on site
Angola,AGO,,,NO,,,https://www.dbsa.org/EN/About-Us/Projects-2018/Pages/Ministry-of-Finance.aspx,Yes,,,,Problematic,Website given seems to be that of a privae company
Armenia,ARM,,,YES,2018,2019-2021,http://www.minfin.am/en/page/reports_and_statistics1/,Yes,,Annually and Quarterly,,Complete,
Azerbaijan,AZE,,,YES,2018,2018-2025,http://www.maliyye.gov.az/en/static/12/government-debt,Yes,,,en,Complete,PDFs downloaded but they are corrupt
Burundi,BDI,,,NO,,,http://finances.gov.bi/?q=presentation-accueil,Yes,,,fr,Complete,
Benin,BEN,,,YES,2017,2017-2021,http://www.caabenin.net/index.php/publications/bulletins-statistiques,Yes,,Quarterly,,Complete,
Burkina Faso,BFA,,,NO,2015,2015-2017,https://www.finances.gov.bf/ressources/documents,Yes,,,FRENCH,Complete,Manual inspection shows no debt related documents on site
Bangladesh,BGD,,,NO,,,https://mof.gov.bd/,Yes,,,en,Complete,
Bosnia and Herzegovina,BIH,,,YES,2018,2018-2020,http://www.fmf.gov.ba/v2/stranica.php?idstranica=161&idmeni=17,Yes,,Quarterly,BOSNIAN,Complete,Need to check docs because of language
Bolivia,BOL,,,NO,,,https://www.economiayfinanzas.gob.bo/viceministerio-del-tesoro-y-credito-publico.html,Yes,,,SPANISH,Complete,Downloaded a few documents but an exhaustive search could potentially find more
Bhutan,BTN,,,NO,,,https://www.mof.gov.bt/publications/,Yes,,,en,Complete,Manual inspection shows no debt related documents
Central African Republic,CAF,,,NO,,,https://www.finances.gouv.cg/en/congo-debt-situation-31-december-2018,Yes,,,,Complete,
Côte d'Ivoire,CIV,,,NO,,,https://finances.gouv.ci/finances/dette,Yes,,,FRENCH,Partly,Need to be revisited
Cameroon,CMR,,,NO,,,http://www.minfi.gov.cm/index.php/en/documents,Yes,,,FRENCH,Complete,Requires filtering to identify relevant docs
"Congo, Rep.",COG,,,NO,,,https://www.finances.gouv.cg/en/documentation,Yes,,,en,Complete,
Comoros,COM,,,NO,2016?,,https://douane.gov.km/fr/,Yes,,,fr,Complete,
Cape Verde,CPV,,,NO,,,https://www.mf.gov.cv/,Yes,,,FRENCH,Complete,No relevant links on website
Djibouti,DJI,,,NO,,,http://www.ministere-finances.dj/DETTE%20EXTERIEURE.html,Yes,,,FRENCH,Complete,
Dominica,DMA,,,NO,,,http://www.dominica.gov.dm/government-publications,Yes,,,en,Complete,
Eritrea,ERI,,,NO,,,,No,,,,Not started,
Ethiopia,ETH,,,YES,2019,2016-2020,http://www.mofed.gov.et/web/guest/debt-management-directorates,Yes,,Quarterly,,Complete,
"Micronesia, Fed. Sts.",FSM,,,NO,,,http://www.dofa.gov.fm/strategic-economic-reports/,Yes,,,en,Complete,
Georgia,GEO,,,NO,,,https://www.mof.ge/en/4419,Yes,,Annually+Monthly,en,Problematic,URL and its variants unreachable
Ghana,GHA,,,YES,2017,2017-2020,https://www.mofep.gov.gh/reports/2019-04-01/annual-public-debt-report-2018,Yes,,Annually,,Complete,
Guinea,GIN,,,NO,,,https://mef.gov.gn,No,,,fr,Complete,
"Gambia, The",GMB,,,YES,2017,2017-2020,http://www.mofea.gm/directorates/loans-and-debt-management,Yes,,Annually,,Complete,
Guinea-Bissau,GNB,,,NO,,,,No,,,,Not started,
